salt_names,side_effects
Armodafinil ,"Dizziness, Headache, Nausea, Insomnia (difficulty in sleeping)"
Arteether ,"Joint pain, Muscle pain, Dizziness, Injection site reactions (pain, swelling, Loss of appetite, Headache, redness), Weakness"
Artemether ,"Joint pain, Muscle pain, Dizziness, Loss of appetite, Headache, Weakness"
Arterolane ,"Indigestion, Vomiting, Nausea, Abdominal pain, Dizziness, Loss of appetite, Headache, Cough"
Artesunate ,"Fatigue, Loss of appetite, Skin rash, Mouth sore, Muscle pain, Vomiting, Nausea, Tiredness, Stomach pain, Injection site reactions (pain, swelling, Sleepiness, Diarrhea, redness), Dizziness, Upset stomach, ECG changes, Headache, Feeling of fullness, Insomnia (difficulty in sleeping), Weakness"
Aspartate ,"Nausea, Constipation, Stomach pain, Injection site reactions (pain, swelling, Bloating, No common side effects seen, Diarrhea, redness)"
Aspirin ,"Indigestion, Bruise, Muscle pain, Vomiting, Nausea, Abdominal pain, Increased bleeding tendency, Upset stomach, Gastrointestinal bleeding, Nosebleeds, Headache, Diarrhea, Heartburn, Weakness"
Atenolol ,"Nausea, Constipation, Taste change, Dizziness, Cold extremities, Decreased blood pressure, Upset stomach, Increased potassium level in blood, Headache, Diarrhea, Numbness of extremity, Slow heart rate, Weakness"
Atomoxetine ,"Increased heart rate, Vomiting, Nausea, Abdominal pain, High blood pressure, Sleepiness, Headache, Decreased appetite"
Atosiban ,"Increased glucose level in blood, Nausea, Dizziness, Decreased blood pressure, Vomiting, Hot flashes, Injection site reaction, Headache, Slow heart rate"
Atracurium ,"Erythema (skin redness), Injection site reactions (pain, swelling, Itching, Skin rash, redness)"
Atropine ,"Indigestion, Increased heart rate, Flushing of skin, Difficulty in urination, Dryness in mouth, Skin rash, Eye redness, Constipation, Stinging sensation, High blood pressure, Drowsiness, Confusion, Cough, Urine discoloration, Injection site pain, Dizziness, Itching, Eye pain, Bronchoconstriction (constriction of air passages), Blurred vision, Irritation"
Azacitidine ,"Bruise, Vomiting, Nausea, Constipation, Injection site reactions (pain, swelling, Fever, Decreased potassium level in blood, Chills, Diarrhea, redness), Weakness"
Azathioprine ,"Decreased white blood cell count, Nausea, Loss of appetite, Increased bleeding tendency, Infection"
Azelaic Acid ,"irritation, itching and redness), Application site reactions (burning"
Azelastine ,Taste change
Azithromycin ,"Indigestion, Vomiting, Nausea, Abdominal pain, Taste change, Dizziness, Stomach pain, Loss of appetite, Headache, Diarrhea"
Aztreonam ,"Vomiting, Nausea, Injection site reactions (pain, swelling, Rash, Diarrhea, redness)"
B ,"Indigestion, Sore throat, Fatigue, Agitation, Dryness in mouth, Vomiting, Nausea, Decreased white blood cell count, Anxiety, Depression, Stomatitis (Inflammation of the mouth), Impaired concentration, Decreased appetite, Cough, Viral infection, Dizziness, Headache, Abdominal pain, Insomnia (difficulty in sleeping), Nervousness, Fever, Blurred vision"
Bacitracin ,"irritation, itching and redness), Application site reactions (burning"
Baclofen ,"Fatigue, Drowsiness, Dizziness, Weakness"
Bacterial Lysate ,No common side effects seen
Balofloxacin ,"Nausea, Stomach pain, Abnormal liver function tests, Allergic reaction, Diarrhea"
Balsalazide ,"Joint pain, Vomiting, Nausea, Abdominal pain, Respiratory tract infection, Headache, Diarrhea"
Baricitinib ,"Herpes virus infection, Viral infection, Cold sores, Nausea, Sore throat, Upper respiratory tract infection"
Becaplermin ,"irritation, itching and redness), Application site reactions (burning"
Beclometasone ,"Erythema (skin redness), itching and redness), Ear discomfort, Irritation of ear, irritation, Itching, Burning sensation at the site of application, Irritation, Application site reactions (burning"
Bendamustine ,"Decreased white blood cell count, Fatigue, Nausea, Vomiting, Fever, Anemia (low number of red blood cells), Mucosal inflammation, Infection, Low blood platelets"
Benfotiamine ,"Vomiting, Dizziness, Tiredness, Nausea, Stomach discomfort, Uncoordinated body movements, Skin rash, Sleepiness"
Benzathine penicillin G ,"Injection site reactions (pain, swelling, Allergic reaction, Rash, redness)"
Benzocaine ,"itching and redness), irritation, Allergy, No common side effects seen, Application site reactions (burning"
Benzonatate ,"Vomiting, Nausea, Constipation, Dizziness, Loss of appetite, Rash, Worsening of a pre-existing breathing problem, Breathlessness"
Benzoxonium Chloride ,No common side effects seen
Benzoyl Peroxide ,"Erythema (skin redness), Burning sensation, Skin peeling, Stinging sensation, Itching, Burning sensation at the site of application, Dry skin"
Benzydamine ,"Stinging sensation, Staining of teeth, No common side effects seen, Taste change"
Benzyl Nicotinate ,"irritation, itching and redness), Application site reactions (burning"
Betahistine ,"Indigestion, Nausea, Stomach pain, Bloating, Headache"
Betamethasone ,"Swelling, Erythema (skin redness), itching and redness), Vomiting, Nausea, Burning sensation, Thinning of skin, Skin peeling, irritation, Itching, Application site irritation, Upset stomach, Depression, Reduction in bone density, Rash, Application site reactions (burning, Diarrhea, Mood changes"
Betaxolol ,"Headache, Watery eyes, Blurred vision, Eye discomfort"
Bethanechol ,"ears, Sweating, Vomiting, Nausea, Arrhythmia (irregular heartbeats), neck and trunk), Flushing (sense of warmth in the face, Headache, Diarrhea"
Bevacizumab ,"Inflammation of the nose, Back pain, Rectal bleeding, Taste change, Dry skin, High blood pressure, Protein in urine, Nosebleeds, Headache"
Bicalutamide ,"Indigestion, Flatulence, Abdominal pain, Constipation, Depression, Dizziness, Anemia (low number of red blood cells), Nausea, Hot flashes, Breast tenderness, Rash, Increased liver enzymes, Sleepiness, Decreased libido, Breast enlargement in male, Weight gain, Decreased appetite, Weakness"
Bilastine ,"Drowsiness, Headache"
Bimatoprost ,"Change in color of iris, Darkening of eyelashes, Eye itching, Stinging sensation, Burning sensation in eye, Itching, Irritation, Foreign body sensation, Conjunctival hyperemia, Eye pain"
Biotin ,"Diarrhea, Upset stomach"
Bisacodyl ,"Rectal discomfort, Vomiting, Nausea, Stomach cramp, Bloating, Stomach discomfort, Fainting"
Bleomycin ,"Skin pigmentation, Vomiting, Nausea, Hair loss, Fever, Loss of appetite, Interstitial pneumonia, Weight loss, Stomatitis (Inflammation of the mouth), Rigors, Nail discoloration, Low blood platelets, Scratch dermatitis, Pulmonary fibrosis"
Boric Acid ,"Photophobia, Eye irritation, Burning sensation in eye, Blurred vision, Burning eyes, Stinging in the eyes, Eye discomfort"
Brimonidine ,"ears, Foreign body sensation in eyes, Dryness in mouth, Eye redness, Tiredness, Stinging sensation, Ocular hyperemia, Stinging in the eyes, neck and trunk), Dermatitis, Flushing (sense of warmth in the face, Drowsiness, Erythema (skin redness), Eye itching, Itching, Foreign body sensation, Headache, Burning sensation in eye, Blurred vision, Allergic reaction in eye"
Brinzolamide ,"Bitter taste, Blurred vision"
Bromelain ,No common side effects seen
Bromfenac ,"Eye irritation, Burning sensation"
Bromhexine ,"Indigestion, Increased heart rate, Tremor, Hives, Fatigue, Loss of appetite, Dryness in mouth, Skin rash, Sweating, Vomiting, Nausea, Stomach pain, Palpitations, Sleepiness, Diarrhea, Dizziness, Itching, Upset stomach, Bloating, Allergic reaction, Headache, Insomnia (difficulty in sleeping)"
Bromocriptine ,"Vomiting, Nausea, Dizziness, Fatigue, Headache"
Buclizine ,Sleepiness
Budesonide ,"Respiratory tract infection, Difficulty in swallowing, Fungal infection"
Bupivacaine ,"Vomiting, Nausea, Dizziness, Decreased blood pressure, Urinary retention, High blood pressure, Paresthesia (tingling or pricking sensation), Slow heart rate"
Buprenorphine ,"Arrhythmia (irregular heartbeats), Orthostatic hypotension (sudden lowering of blood pressure on standing), Fainting, Sweating, Vomiting, Nausea, Constipation, Anxiety, Sleepiness, Numbness in mouth, Drowsiness, Diarrhea, Sleep disturbance, Dizziness, Lightheadedness, Headache, Tongue pain, Difficulty in paying attention, Back pain, Nervousness, Blurred vision, Drug withdrawal syndrome, Weakness"
Bupropion ,"Tremor, Sweating, Vomiting, Nausea, Insomnia (difficulty in sleeping), Dizziness, Taste change, Abdominal pain, Anxiety, Fever, Constipation, Allergic reaction, Agitation, Dryness in mouth, Impaired concentration, Headache"
Buserelin ,"Muscle weakness, Increased sweating, Injection site pain, Bone pain, Fatigue, Erectile dysfunction, Decreased libido, Testicular atrophy"
Buspirone ,"Vomiting, Nausea, Dizziness, Constipation, Abdominal pain, Dryness in mouth, Sleepiness, Headache, Diarrhea"
Butorphanol ,"Vomiting, Dizziness, Nausea, Constipation, Injection site reactions (pain, swelling, Sleepiness, Headache, redness)"
Cabazitaxel ,"Back pain, Vomiting, Abdominal pain, Blood in urine, Hair loss, Constipation, Anemia (low number of red blood cells), Loss of appetite, Taste change, Nausea, Cough, Stomatitis (Inflammation of the mouth), Breathing problems, Decreased white blood cell count (neutrophils), Diarrhea, Low blood platelets, Weakness"
Cabergoline ,"Indigestion, Vertigo, Nausea, Constipation, Dizziness, Fatigue, Vomiting, Blurred vision, Hot flashes, Drowsiness, Headache"
Caffeine ,"Vomiting, Nausea, Insomnia (difficulty in sleeping), Dizziness, Fatigue, Impaired coordination, Allergic reaction, Stomach pain/epigastric pain, Restlessness, Sleepiness, Dryness in mouth, Increased liver enzymes, Headache, Diarrhea, Thickened respiratory tract secretions"
Calcipotriol ,"Burning sensation, Stinging sensation, Itching, Skin irritation, Dry skin, Rash"
Calcitonin ,"Nasal irritation, Nausea, Injection site reactions (pain, swelling, redness), Runny nose"
Calcitriol ,"itching and redness), Injection site reactions (pain, irritation, Itching, swelling, Rash, No common side effects seen, Application site reactions (burning, redness)"
Calcium ,"Indigestion, Diarrhea, Back pain, muscle or joint) pain, No common side effects seen, Headache, Musculoskeletal (bone, Heartburn"
Calcium Chloride ,"Tingling sensation, Hot flushes, Taste change"
Calcium Gluconate ,Injection site inflammation
Calcium Lactate ,No common side effects seen
Calcium Leucovorin ,"redness), Injection site reactions (pain, swelling, No common side effects seen"
Calcium Pantothenate ,No common side effects seen
Calcium Polystyrene Sulphonate ,"Vomiting, Nausea, Constipation, Loss of appetite, Stomach irritation"
Camostat ,"Jaundice, Nausea, Abnormal liver function tests, Itching, Liver disorder, Increased potassium level in blood, Rash, Gastrointestinal discomfort, Diarrhea, Low blood platelets"
Camphor ,"Photophobia, Eye irritation, Blurred vision, Stinging in the eyes, Eye pain"
Camylofin ,"Increased heart rate, Indigestion, ears, Arrhythmia (irregular heartbeats), Loss of appetite, Difficulty in urination, Dry skin, Dryness in mouth, Vomiting, Nausea, Constipation, Stomach pain, Palpitations, Dilatation of pupil, Loss of accommodation, neck and trunk), Flushing (sense of warmth in the face, Diarrhea, Reduce bronchial secretion, Excessive thirst, Photophobia, Blurred vision, Heartburn"
Canagliflozin ,"Frequent urge to urinate, Fungal infection of vagina, Urinary tract infection"
Capecitabine ,"Vomiting, Nausea, Abdominal pain, Diarrhea, Blisters on fingers/feet, Weakness"
Carbamazepine ,"Slurred speech, Vomiting, Dizziness, Nausea, Constipation, Fatigue, Blurred vision, Itching, Dryness in mouth, Drowsiness, Balance disorder (loss of balance)"
Carbazochrome ,No common side effects seen
Carbimazole ,"Joint pain, Gastrointestinal disturbance, Nausea, Itching, Skin rash, Paresthesia (tingling or pricking sensation), Headache"
Carbomer ,Limited data available
Carboprost ,"ears, Vomiting, Nausea, Placental retention, neck and trunk), Chills, Flushing (sense of warmth in the face, Headache, Diarrhea, Cough"
Carboxymethylcellulose ,"Burning sensation, Itching, Stinging in the eyes, Irritation, Eye pain, Eye discharge"
Caroverine ,"Nausea, Headache, Dryness in mouth, Dizziness"
Caspofungin ,"Fever, Decreased potassium level in blood, Rash, Chills, Diarrhea, Increased alkaline phospatase level in blood, Increased liver enzymes"
Cefadroxil ,"Vomiting, Nausea, Stomach pain, Allergic reaction, Rash, Diarrhea"
Cefalexin ,"Indigestion, Vomiting, Nausea, Stomach pain, Rash, Diarrhea"
Cefditoren ,"Indigestion, Nausea, Stomach pain, Headache, Diarrhea"
Cefixime ,"Indigestion, Flatulence, Vomiting, Nausea, Stomach pain, Diarrhea"
Cefoperazone ,"Diarrhea, Anemia (low number of red blood cells), Abnormal liver function tests, Allergic reaction"
Cefotaxime ,"Nausea, Allergic reaction, Rash, Injection site reaction, Diarrhea"
Cefpodoxime Proxetil ,"Nausea, Stomach pain, Rash, Headache, Diarrhea"
Ceftriaxone ,"white cells, Decreased blood cells (red cells, Injection site reactions (pain, swelling, Abnormal liver function tests, Allergic reaction, Rash, and platelets), Diarrhea, redness), Increased liver enzymes"
Cefuroxime ,"Vomiting, Nausea, Allergic reaction, Rash, Diarrhea, Increased liver enzymes"
Centchroman ,Irregular menstrual cycle
Cerebroprotein Hydrolysate ,"Flu-like symptoms, Confusion, Increased sweating, Sweating, Vertigo, Nausea, Anxiety, Hallucination, Fever, Agitation, Headache"
Cetilistat ,"Fat in stool, Flatulence, Flatus with discharge, Abdominal pain, Oily spotting, Abdominal cramp, Diarrhea, Soft stools"
Cetirizine ,"Vomiting, Nausea, Dizziness, Fatigue, Upset stomach, Allergic reaction, Dryness in mouth, Sleepiness, Headache, Sedation"
Cetrimide ,"irritation, itching and redness), Application site reactions (burning"
Cetrorelix ,"Ovarian hyperstimulation syndrome, Vomiting, Nausea, Injection site reactions (pain, swelling, Itching, Irritation, Lower abdominal pain, redness)"
Chlorambucil ,"white cells, Decreased white blood cell count, Decreased blood cells (red cells, Nausea, Vomiting, Anemia (low number of red blood cells), Bone marrow suppression, Decreased white blood cell count (neutrophils), and platelets), Diarrhea, Mouth ulcer"
Chloramphenicol ,"Limited data available, Burning sensation, Eye discomfort, Vomiting, Nausea, Injection site reactions (pain, swelling, Irritation of ear, Stinging in the eyes, Pain, Diarrhea, redness), Ear discomfort, Application site irritation, Itching, Eye irritation, Taste change, Burning sensation in eye, Blurred vision"
Chlordiazepoxide ,"Tremor, Flatulence, Fatigue, Memory impairment, Urinary retention, Orthostatic hypotension (sudden lowering of blood pressure on standing), Difficulty in urination, Muscle stiffness, Dryness in mouth, Increased prolactin level in blood, Nausea, Constipation, Stomach pain, Depression, Tiredness, Impaired coordination, Sleepiness, Unsteadiness, Drowsiness, Confusion, Diarrhea, Weight gain, Flu-like symptoms, Dizziness, Lightheadedness, Uncoordinated body movements, Headache, Balance disorder (loss of balance), Blurred vision, Sedation, Weakness"
Chlorhexidine Gluconate ,"Thinning of skin, Itching, Burning sensation at the site of application, Irritation, Bitter taste"
Chloroquine ,"Dizziness, Headache, Rash, Vomiting"
Chlorpheniramine Maleate ,"Dryness in mouth, Breathlessness, Sweating, Vomiting, Nausea, Constipation, Stinging in the eyes, Impaired coordination, Sleepiness, Drowsiness, Dizziness, Lightheadedness, Upset stomach, Burning eyes, Allergic reaction, Headache, Difficulty in paying attention, Eye irritation, Exhaustion, Fluid overload"
Chlorpromazine ,"Increased prolactin level in blood, Nausea, Urinary retention, Constipation, Orthostatic hypotension (sudden lowering of blood pressure on standing), Dizziness, Blurred vision, Nervousness, Muscle stiffness, Dryness in mouth, Sleepiness, Abnormality of voluntary movements, Weight gain, Sedation"
Chlorzoxazone ,"Vomiting, Nausea, Stomach pain, Loss of appetite, Dryness in mouth, Sleepiness, Diarrhea, Heartburn, Weakness"
Choline ,"Constipation, Blurred vision, Dryness in mouth, Sleepiness"
Choline Salicylate ,No common side effects seen
Chondroitin ,No common side effects seen
Chromium ,No common side effects seen
Chromium Chloride ,No common side effects seen
Ciclosporin ,"Tremor, Renal dysfunction, Vomiting, Nausea, Burning sensation in eye, Loss of appetite, Blurred vision, High blood pressure, Increased hair growth, Headache, Diarrhea"
Cilnidipine ,"ears, Dizziness, Tiredness, Palpitations, Upset stomach, Increased potassium level in blood, Sleepiness, neck and trunk), Flushing (sense of warmth in the face, Headache, Ankle swelling"
Cinacalcet ,"Muscle pain, Vomiting, Nausea, Rash, Headache, Diarrhea"
Cinitapride ,"Flatulence, Dizziness, Stomach pain, Headache, Diarrhea"
Cinnarizine ,"Indigestion, Nausea, Stomach pain, Sleepiness, Dryness in mouth, Drowsiness, Headache, Weight gain"
Ciprofloxacin ,"Eye irritation, Vomiting, Nausea, Burning sensation, Stomach pain, Injection site reactions (pain, swelling, Application site irritation, Rash, Dryness in mouth, Eye discomfort, Metallic taste, Headache, Diarrhea, redness)"
Cisatracurium ,"Decreased blood pressure, Injection site reactions (pain, swelling, redness), Slow heart rate"
Citicoline ,"Hyperactivity, Nervousness, Arrhythmia (irregular heartbeats), Stomach pain, Decreased blood pressure, Injection site reactions (pain, swelling, redness), Diarrhea, Weight gain"
Citric Acid ,"Vomiting, Dizziness, Nausea, Stomach pain, Impaired coordination, Stomach pain/epigastric pain, Sleepiness, Diarrhea, Thickened respiratory tract secretions"
Clarithromycin ,"Indigestion, Vomiting, Abdominal pain, Nausea, Taste change, Rash, Headache, Diarrhea"
Clidinium ,"Headache, Muscle pain, Nausea, Constipation, Nervousness, Dizziness, Stomach pain, Blurred vision, Fatigue, Difficulty in urination, Impaired coordination, Dryness in mouth, Sleepiness, Drowsiness, Confusion, Weakness"
Clindamycin ,"Dryness, Erythema (skin redness), itching and redness), Vomiting, Nausea, Stomach pain, Skin peeling, irritation, Itching, Burning sensation at the site of application, Dry skin, Irritation, Skin rash, Vaginal burning sensation, Application site reactions (burning, Dermatitis, Diarrhea"
Clobazam ,"Slurred speech, Tiredness, Constipation, Insomnia (difficulty in sleeping), Fever, Difficulty in urination, Drooling, Breathing problems, Sleepiness, Aggressive behavior, Cough"
Clobetasol ,"itching and redness), Thinning of skin, Skin peeling, irritation, Application site reactions (burning"
Clobetasone ,"irritation, itching and redness), Application site reactions (burning"
Clofazimine ,"Vomiting, Nausea, Skin peeling, Loss of appetite, Itching, Skin discoloration, Eye discoloration, Rash, Diarrhea"
Clomiphene ,"Ovarian hyperstimulation syndrome, Metrorrhagia (menstrual bleeding at irregular intervals), Vomiting, Nausea, Breast discomfort, Bloating, Hot flashes, Enlarged Ovary, Headache"
Clonazepam ,"Nightmare, Anorgasmia (decreased orgasm), Vomiting, Tiredness, Memory impairment, Nausea, Depression, Dizziness, Fatigue, Cold extremities, Low sexual desire, Impaired coordination, Uncoordinated body movements, Delayed ejaculation, Drowsiness, Confusion, Diarrhea, Slow heart rate"
Clopidogrel ,Bleeding
Clotrimazole ,"Swelling, Blister, itching and redness), Skin peeling, Application site irritation, irritation, Irritation, Vaginal burning sensation, No common side effects seen, Application site reactions (burning"
Clozapine ,"Decreased blood pressure, Visual impairment, Increased sweating"
Coal Tar ,"Dry skin, Application site irritation"
Codeine ,"Sweating, Vomiting, Nausea, Constipation, Dizziness, Lightheadedness, Sleepiness, Headache, Breathlessness"
Colchicine ,"Nausea, Abdominal pain, Vomiting"
Colfosceril Palmitate ,"Endotracheal tube blockade, Pulmonary haemorrhage"
Colistimethate Sodium ,"Slurred speech, Vertigo, Dizziness, Fever, Upset stomach, Rash, Paresthesia (tingling or pricking sensation)"
Colistin Sulphate ,"Nausea, Diarrhea, Kidney damage, Vomiting"
Conjugated Estrogens ,"Irregular vaginal bleeding, Breast pain, Vomiting, Nausea, Hair loss, Stomach cramp, Bloating, Headache"
Corticotropin ,"Increased appetite, Glucose intolerance, Behavioural changes, High blood pressure, Edema (swelling), Weight gain, Mood changes"
Cyanocobalamin ,"redness), Injection site reactions (pain, swelling"
Cyclobenzaprine ,"Nausea, Dizziness, Loss of appetite, Stomach pain/epigastric pain, Dryness in mouth, Sleepiness, Diarrhea, Heartburn"
Cyclopentolate ,"Stinging sensation, Burning sensation in eye, Blurred vision, Itching, Irritation, Foreign body sensation, Increased sensitivity to light, Eye redness"
Cyclophosphamide ,"Vomiting, Nausea, Blood in urine, Hair loss, Fever, Decreased white blood cell count (neutrophils), Diarrhea"
Cyproheptadine ,"Increased appetite, Constipation, Blurred vision, Dryness in mouth, Sleepiness, Drowsiness"
Cyproterone ,"Breast pain, Nausea, Stomach pain, Headache, Mood changes"
Dactinomycin ,"Glossitis (tongue inflammation), Vomiting, Nausea, Loss of appetite, Inflammation of the rectum, Lip inflammation, Diarrhea, Low blood platelets"
Dalfampridine ,"Nasal irritation, Indigestion, Back pain, Sleep disturbance, Dizziness, Nausea, Constipation, Throat irritation, Throat pain, Paresthesia (tingling or pricking sensation), Headache, Balance disorder (loss of balance), Urinary tract infection, Weakness"
Dalteparin ,"Bleeding, Injection site reaction"
Danazol ,"Swelling, Abnormal hair growth on a women face and body, Hoarseness of voice, Acne, Voice change, Sore throat, Hair loss, Itchy scalp, Weight gain"
Dapagliflozin ,"Fungal infection of vagina, Urinary tract infection, Nasopharyngitis (inflammation of the throat and nasal passages)"
Dapoxetine ,"Indigestion, Tremor, Increased sweating, Vomiting, Nausea, Dizziness, Fatigue, Erectile dysfunction, Restlessness, Drowsiness, Headache"
Dapsone ,"Dryness, Oily skin, Erythema (skin redness), Skin peeling, Fever, Itching, Skin irritation, Dry skin, Burning sensation at the site of application, Rash"
Darbepoetin alfa ,"High blood pressure, Hypersensitivity"
Darifenacin ,"Constipation, Nasal dryness, Dry eye, Dryness in mouth, Headache"
Dasatinib ,"Vomiting, Abdominal pain, Fatigue, muscle or joint) pain, Fever, Anemia (low number of red blood cells), Nausea, Breathing problems, Rash, Infection, Headache, Musculoskeletal (bone, Low blood platelets"
Daunorubicin ,"Decreased blood cells (red cells, Fatigue, Loss of appetite, Chills, Vomiting, Nausea, Decreased white blood cell count, Hair loss, Mucosal inflammation, Stomatitis (Inflammation of the mouth), Diarrhea, Low blood platelets, Febrile neutropenia, white cells, Anemia (low number of red blood cells), and platelets), Ulcer, Abdominal pain, Fever, Breathing problems"
Deferasirox ,"Vomiting, Nausea, Abdominal pain, Constipation, Itching, Rash, Headache, Diarrhea, Increased liver enzymes, Abdominal distension"
Deferiprone ,"Nausea, Urine discoloration, Abdominal pain, Vomiting"
Deferoxamine ,"ears, Abdominal pain, Decreased blood pressure, Rash, neck and trunk), Flushing (sense of warmth in the face"
Deflazacort ,"Increased appetite, Abnormal hair growth, Cushing syndrome, Frequent urge to urinate, Facial swelling, Cough"
Degarelix ,"Injection site reactions (pain, swelling, Erectile dysfunction, Hot flashes, Low sexual desire, Weight gain, redness), Increased liver enzymes"
Dehydroemetine ,"Vomiting, Nausea, Dizziness, Abdominal pain, Fever, Hair loss, Abnormal liver function tests, Vertigo, Injection site reactions (pain, swelling, Headache, redness)"
Dehydroepiandrosterone ,"Fatigue, Increased liver enzymes, Nausea, Hair loss, Stomach pain, Hot flashes, High blood pressure, Increased sensitivity to light, Weight gain, Dizziness, Prostate enlargement, Upset stomach, No common side effects seen, Headache, Facial hair growth, Acne, Insomnia (difficulty in sleeping), Increased red blood cells, Irritation, Rash, Menstrual disorder, Heartburn"
Denosumab ,"Pain in extremity, muscle or joint) pain, Constipation, Nerve pain, Rash, Musculoskeletal (bone, Urinary tract infection"
Desloratadine ,Sleepiness
Desmopressin ,"Nasal discomfort, Back pain, Dizziness, Nausea, Sneezing, Stomach pain, Nasal congestion (stuffy nose), Nosebleeds, Headache, Bronchitis (inflammation of the airways), Nasopharyngitis (inflammation of the throat and nasal passages)"
Desonide ,"Rash, irritation, itching and redness), Application site reactions (burning"
Desvenlafaxine ,"Sexual dysfunction, Headache, Increased sweating, Vomiting, Dizziness, Anxiety, Constipation, Insomnia (difficulty in sleeping), Nausea, Memory impairment, Tiredness, Erectile dysfunction, Low sexual desire, Depression, Ejaculation disorder, Uncoordinated body movements, Confusion, Decreased appetite"
Dexamethasone ,"Eye irritation, Burning sensation, Injection site reactions (pain, swelling, Upset stomach, Reduction in bone density, Watery eyes, redness), Mood changes"
Dexlansoprazole ,"Flatulence, Vomiting, Nausea, Abdominal pain, Diarrhea"
Dextromethorphan Hydrobromide ,"Hives, Loss of appetite, Stomach pain/epigastric pain, Vomiting, Nausea, Stomach pain, Palpitations, Impaired coordination, High blood pressure, Sleepiness, Confusion, Diarrhea, Thickened respiratory tract secretions, Convulsion, Dizziness, Itching, Upset stomach, Headache, Excitement, Respiratory depression, Insomnia (difficulty in sleeping), Rash"
Dextrose ,"redness), Injection site reactions (pain, swelling, No common side effects seen"
Diatrizoic Acid ,"Nausea, Vomiting"
Diazepam ,"Muscle weakness, Dizziness, Memory impairment, Tiredness, Nervousness, Depression, Blurred vision, Fatigue, Withdrawal symptoms, Impaired coordination, Sleepiness, Dryness in mouth, Abnormality of voluntary movements, Drowsiness, Confusion"
Dibucaine ,"Ear pain, Dizziness, Ear discomfort, Taste change, Irritation of ear, Headache"
Diclofenac ,"Indigestion, Vomiting, Nausea, Stomach pain, Injection site reactions (pain, swelling, Loss of appetite, Application site irritation, Stomach pain/epigastric pain, Sleepiness, Diarrhea, redness), Heartburn"
Dicyclomine ,"Indigestion, Loss of appetite, Dryness in mouth, Breathlessness, Muscle pain, Vomiting, Nausea, Constipation, Stomach pain, Sweating, Sleepiness, Drowsiness, Diarrhea, Dizziness, Headache, Nervousness, Blurred vision, Heartburn, Weakness"
Dienogest ,"Headache, Breast discomfort, Depression, Acne"
Diethylcarbamazine ,"Vomiting, Dizziness, Nausea, Abdominal pain, Hair loss, Fever, Abnormal liver function tests, Vertigo, Loss of appetite, Fatigue, Allergic reaction, Sleepiness, Dryness in mouth, Headache"
Difluprednate ,"Eye irritation, Watery eyes, Burning sensation"
Diloxanide ,"Flatulence, Fatigue, Loss of appetite, Stomach pain/epigastric pain, Dryness in mouth, Vomiting, Nausea, Constipation, Hair loss, Sleepiness, Vertigo, Dizziness, Cramps, Headache, Abdominal pain, Taste change, Fever, Abnormal liver function tests, Metallic taste"
Dimercaprol ,"Nausea, Headache, Burning sensation in throat, Vomiting"
Dimethicone ,"Dehydration, Constipation, Diarrhea, Coating on tongue"
Dimethyl fumarate ,"ears, Nausea, Stomach pain, neck and trunk), Flushing (sense of warmth in the face, Diarrhea"
Dinoprostone ,"Increased uterine contractions, Back pain, Vomiting, Flushing of skin, Diarrhea, Fetal distress"
Diphenhydramine ,"Vomiting, Dizziness, Nausea, Impaired coordination, Stomach pain/epigastric pain, Allergic reaction, Sleepiness, Thickened respiratory tract secretions"
Diphenoxylate ,"Indigestion, Dizziness, Constipation, Flushing of skin, Blurred vision, Difficulty in urination, Dryness in mouth, Drowsiness, Confusion, Bronchoconstriction (constriction of air passages), Cough"
Diphtheria Immune Globulin ,"Injection site redness, Swelling, Vomiting, Fever, Loss of appetite, Unusual crying, Irritation, Pain, Injection site reaction, Drowsiness, Tenderness"
Diphtheria Toxoid ,"Injection site redness, Swelling, Vomiting, Fever, Loss of appetite, Unusual crying, Pain, Gastrointesinal symptoms, Irritation, Drowsiness, Headache, Tenderness, Weakness"
Disodium Hydrogen Citrate ,"Vomiting, Tiredness, Nausea, Stomach pain, Diarrhea, Frequent urge to urinate"
Disulfiram ,"Fatigue, Headache, Drowsiness, Metallic taste"
Dithranol ,"Skin irritation, Burning sensation"
Divalproex ,"Tremor, Flu-like symptoms, Double vision, Vomiting, Dizziness, Abdominal pain, Nausea, Hair loss, Blurred vision, Weight loss, Sleepiness, Infection, Headache, Diarrhea, Weight gain, Weakness"
Docetaxel ,"Muscle pain, Constipation, Loss of appetite, Nail disorder, Pain, Edema (swelling), Infection, Breathlessness, Weakness"
Docosahexaenoic acid,"Nausea, Diarrhea, Vomiting"
Docusate ,"Vertigo, Nausea, Fever, Stomach cramp, Skin rash, Headache, Diarrhea"
Dolutegravir ,"Muscle pain, Dizziness, Insomnia (difficulty in sleeping), Nausea, Fatigue, Headache, Diarrhea, Increased liver enzymes"
Domperidone ,"Flu-like symptoms, Flatulence, Vomiting, Dizziness, Nausea, Stomach pain, Constipation, Dryness in mouth, Sleepiness, Headache, Diarrhea, Weakness"
Donepezil ,"Vomiting, Nausea, Insomnia (difficulty in sleeping), Fatigue, Dizziness, Weight loss, Loss of appetite, Headache, Diarrhea, Muscle cramp, Bleeding under the skin"
Dorzolamide ,"Burning sensation, Stinging sensation, Blurred vision, Itching, Burning eyes, Stinging in the eyes, Bitter taste, Eye redness"
